Nome do Cliente;Indústria;Valor Estimado;Valor de Fechamento;Oportunidade Criada Em;Data de Fechamento;Nome da Oportunidade;Categoria;Produto;Fase da Oportunidade;Status da Oportunidade;Estado;CSM
24 por 7;Outros Serviços; R$ -   ; R$ -   ;05/11/18;12/03/19;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;Não classificada;Perdida;Rio Grande do Sul;Jack Sparrow
24 por 7;Outros Serviços; R$ -   ; R$ -   ;01/05/18;21/08/18;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;1 - Lead;Perdida;São Paulo;Mia Wallace
2toLead;Serviços Profissionais; R$ 2.000,00 ; R$ 2.000,00 ;19/07/16;21/07/16;Pacote de relatórios Excel;Produtos;Microsoft Excel;1 - Lead;Ganha;Acre;Rose Calvert
2toLead;Serviços Profissionais; R$ 10.000,00 ; R$ 10.000,00 ;12/04/18;20/04/18;Treinamento para Administradores;Treinamento;Microsoft Project Online;Não classificada;Ganha;Sergipe;Mia Wallace
A.R. Mays Construction;Serviços Profissionais; R$ 600,00 ; R$ 600,00 ;23/05/16;23/05/16;Desenvolvimento de workflows;Consultoria;Microsoft SharePoint Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Jack Sparrow
A.R. Mays Construction;Serviços Profissionais; R$ 2.000,00 ; R$ 2.000,00 ;18/10/16;31/10/16;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Marty McFly
A.R. Mays Construction;Serviços Profissionais; R$ 3.174,95 ; R$ 3.174,95 ;29/04/16;10/05/16;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;1 - Lead;Ganha;Santa Catarina;Rose Calvert
A+ IT Solutions;Manufatura; R$ 55.000,00 ; R$ -   ;19/08/19;15/10/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;4 - Demonstração realizada;Perdida;São Paulo;Marty McFly
Aasonn;Manufatura; R$ 10.000,00 ; R$ 10.000,00 ;01/02/19;04/02/19;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Paraná;Vincent Vega
Abbott Laboratories;Saúde; R$ 19.000,00 ; R$ -   ;05/09/19;08/06/20;Desenvolvimento de flows;Consultoria;Power Automate;4 - Demonstração realizada;Perdida;Paraná;Jack Sparrow
Abbvie, Inc.;Saúde; R$ -   ; R$ -   ;08/05/20;30/07/20;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;5 - Levantamento de escopo;Perdida;Paraná;Mia Wallace
ABC FINANCIAL SERVICES;Serviços Profissionais; R$ 2.695,00 ; R$ 2.695,00 ;21/03/19;21/03/19;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;7 - Encerramento;Ganha;São Paulo;Marty McFly
ABC, Inc.;Saúde; R$ -   ; R$ -   ;10/07/20;10/07/20;Migração PPM (PS 2010 - POL);Consultoria;Microsoft Project Online;5 - Levantamento de escopo;Perdida;São Paulo;Rose Calvert
ABC, Inc.;Saúde; R$ 10.000,00 ; R$ -   ;10/07/20;01/09/20;Treinamento para Administradores;Treinamento;Microsoft Project Online;6 - Proposta enviada;Perdida;São Paulo;Rose Calvert
Academic Partnerships;Saúde; R$ 40.000,00 ; R$ -   ;16/06/20;27/07/20;Implantação PPM;Consultoria;Microsoft Project Online;4 - Demonstração realizada;Perdida;Maranhão;Marty McFly
Tecnologia 4 All;Manufatura; R$ 6.000,00 ; R$ 6.000,00 ;31/10/19;11/05/20;Contratação pontual de suporte;Serviços;Microsoft Project Online;7 - Encerramento;Ganha;Paraná;Jack Sparrow
Tecnologia 4 All;Manufatura; R$ 23.000,00 ; R$ -   ;02/10/19;27/01/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;6 - Proposta enviada;Perdida;Paraná;Marty McFly
Acelity / LifeCell Corp / Kinetic Concepts Inc. (KCI);Saúde; R$ 6.000,00 ; R$ 6.000,00 ;09/02/16;16/06/16;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Maranhão;Marty McFly
Acelity / LifeCell Corp / Kinetic Concepts Inc. (KCI);Saúde; R$ 10.000,00 ; R$ 10.000,00 ;15/12/16;28/02/17;Desenvolvimento de relatórios;Consultoria;Microsoft Project Server;3 - Entendimento de necessidades;Ganha;Maranhão;Marty McFly
Acelity / LifeCell Corp / Kinetic Concepts Inc. (KCI);Saúde; R$ 14.000,00 ; R$ 14.000,00 ;19/05/16;16/06/16;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Maranhão;Django Freeman
Acelity / LifeCell Corp / Kinetic Concepts Inc. (KCI);Saúde; R$ 16.000,00 ; R$ -   ;16/02/16;12/04/18;Pacote de relatórios Excel;Produtos;Microsoft Excel;1 - Lead;Perdida;Maranhão;Django Freeman
Acelity / LifeCell Corp / Kinetic Concepts Inc. (KCI);Saúde; R$ 17.439,00 ; R$ 17.439,00 ;11/10/16;09/11/16;Migração PPM (PS 2010 - POL);Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Maranhão;Mia Wallace
Acelity / LifeCell Corp / Kinetic Concepts Inc. (KCI);Saúde; R$ 26.000,00 ; R$ 26.000,00 ;21/01/16;11/10/16;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Maranhão;Mia Wallace
Acelity / LifeCell Corp / Kinetic Concepts Inc. (KCI);Saúde; R$ 149.840,00 ; R$ 149.840,00 ;21/02/15;01/04/15;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;Maranhão;Mia Wallace
ACUMED;Manufatura; R$ 20.000,00 ; R$ -   ;21/11/18;19/06/19;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Ceará;Marty McFly
ACUPERA INC;Saúde; R$ -   ; R$ -   ;17/10/19;16/01/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Perdida;São Paulo;Mia Wallace
Advance Auto Parts;Vendas & Departamento; R$ 45.000,00 ; R$ -   ;22/08/17;09/04/18;Contratação pontual de suporte;Serviços;Microsoft Project Online;1 - Lead;Perdida;Mato Grosso do Sul;Django Freeman
Advance Auto Parts;Vendas & Departamento; R$ 65.000,00 ; R$ -   ;15/08/18;31/08/18;Contratação pontual de suporte;Serviços;Microsoft Project Online;1 - Lead;Perdida;Mato Grosso do Sul;Vincent Vega
